SEQ_NO,KEORAEIL,SUNAPIL,HOIGYE_YEAR,YEAR_GUBUN,GEUMGO_CODE,BANK_GUBUN,MNGBR,ORG_MNGBR,GEORAE_GUBUN,GEORAE_CHANNEL,GUNGU_CODE,JIBGYE_CODE,BONSE_CNT,BONSE_AMT,SEWOI_CNT,SEWOI_AMT,GYOYUKSE_CNT,GYOYUKSE_AMT,NONGTEUKSE_CNT,NONGTEUKSE_AMT,SEIPGYEJWA,JUSEOK,ICHEIL,HOIKYE_SMOK_C,TAX_NO,GIROCD,SUNP_M_G,FIL_DT1,FIL_DT2,FIL_DT3,FIL_DT4,FIL_DT5,FIL_5_NO1,FIL_5_NO2,FIL_5_NO3,FIL_5_NO4,FIL_5_NO5,FIL_18_AMT1,FIL_18_AMT2,FIL_18_AMT3,FIL_18_AMT4,FIL_18_AMT5,DR_DTTM,DROKJA_ID,UPD_DTTM,MODR_ID,KJ_DT
390,20241011,20241002,2023,5,28,88,1,0,1,5,170,103000,5,40210,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
393,20241011,20241002,2023,5,28,88,7127,7127,1,6,110,104000,0,0,1,177000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
394,20241011,20241002,2023,5,28,88,7127,7127,1,6,185,104000,1,150850,1,100000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
395,20241011,20241002,2023,5,28,88,7127,0,1,6,185,103000,2,21860,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
396,20241011,20241002,2023,5,28,88,7127,7127,1,5,245,104000,5,355600,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
397,20241011,20241002,2023,5,28,88,7127,0,1,5,245,103000,1,100000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
398,20241011,20241002,2023,9,28,88,7127,7127,1,6,110,104000,2,86450,1,5757000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
399,20241011,20241002,2023,9,28,88,7127,0,1,6,110,103000,2,19780,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
400,20241011,20241002,2023,9,28,88,7127,7127,1,8,110,104000,0,0,5,15563540,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
401,20241011,20241002,2023,9,28,88,7127,7127,1,5,185,104000,6,624680,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
402,20241011,20241002,2023,9,28,88,7127,0,1,5,185,103000,6,81300,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
409,20241011,20241002,2023,5,28,361,0,0,1,39,110,104000,1,77250,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
410,20241011,20241002,2023,5,28,361,0,0,1,39,110,103000,1,16420,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
413,20241011,20241002,2023,9,28,366,0,0,1,39,237,104000,3,227630,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
414,20241011,20241002,2023,9,28,366,0,0,1,39,237,103000,3,15020,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
421,20241011,20241002,2023,9,28,371,0,0,1,39,260,104000,3,1603430,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
422,20241011,20241002,2023,9,28,371,0,0,1,39,260,103000,3,231750,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
428,20241011,20241002,2023,5,28,381,0,0,1,39,110,104000,1,41790,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
429,20241011,20241002,2023,9,28,381,0,0,1,39,185,104000,4,375850,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
430,20241011,20241002,2023,9,28,381,0,0,1,39,185,103000,7,84250,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
436,20241011,20241002,2023,5,28,11,1111,1111,1,6,245,104000,0,0,1,100000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
445,20241011,20241002,2023,9,28,81,1111,1111,1,6,170,104000,0,0,1,112600,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
448,20241011,20241002,2023,5,28,88,1,1,1,5,237,104000,4,234940,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
449,20241011,20241002,2023,5,28,88,1,0,1,5,237,103000,4,17070,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
460,20241011,20241002,2023,9,28,88,7127,7127,1,6,140,104000,0,0,1,100000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
466,20241011,20241002,2023,5,28,361,0,0,1,39,260,104000,2,283470,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
467,20241011,20241002,2023,5,28,361,0,0,1,39,260,103000,3,267870,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
473,20241011,20241002,2023,5,28,365,0,0,1,39,237,104000,1,136920,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
474,20241011,20241002,2023,5,28,365,0,0,1,39,237,103000,2,9600,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
475,20241011,20241002,2023,9,28,365,0,0,1,39,140,104000,1,71170,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
476,20241011,20241002,2023,9,28,365,0,0,1,39,140,103000,2,10790,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
492,20241011,20241002,2023,9,28,381,0,0,1,39,110,104000,1,41710,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
496,20241011,20241002,2023,9,28,3,1111,1111,1,6,260,104000,1,68740,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
497,20241011,20241002,2023,9,28,3,1111,0,1,6,260,103000,2,10520,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
500,20241011,20241002,2023,5,28,11,1111,1111,1,6,260,104000,4,244110,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
501,20241011,20241002,2023,5,28,11,1111,0,1,6,260,103000,1,19310,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
502,20241011,20241002,2023,5,28,20,1111,1111,1,6,237,104000,0,0,1,200000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
503,20241011,20241002,2023,5,28,20,1111,1111,1,6,245,104000,0,0,1,137200,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
508,20241011,20241002,2023,9,28,81,1111,1111,1,6,260,104000,1,77250,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
509,20241011,20241002,2023,9,28,81,1111,0,1,6,260,103000,1,19310,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
512,20241011,20241002,2023,5,28,88,1,1,1,5,185,104000,2,20420,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
513,20241011,20241002,2023,5,28,88,1,0,1,5,185,103000,2,1880,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
514,20241011,20241002,2023,9,28,88,7127,7127,1,5,260,104000,4,215670,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
515,20241011,20241002,2023,9,28,88,7127,0,1,5,260,103000,3,31700,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
516,20241011,20241002,2023,9,28,88,7127,7127,1,8,260,104000,0,0,1,17610,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20241011021002,IF_O_SHB_RPT_R_006,20241011021002,IF_O_SHB_RPT_R_006,
